date,amount,category,entity,currency,gl_code,cost_center,source_file
2023-01-01,30876.01,Legal,SKADDEN,USD,GL-4190,CC-14,mock_enterprise_spend.csv
2023-01-01,736.15,SaaS,GTLAB,USD,GL-2449,CC-41,mock_enterprise_spend.csv
2023-01-01,4494.78,Logistics,FEDEX,USD,GL-6371,CC-33,mock_enterprise_spend.csv
2023-01-01,45805.4,Payroll,ADP,USD,GL-6776,CC-77,mock_enterprise_spend.csv
2023-01-02,5115.0,Payroll,ADP,USD,GL-3865,CC-29,mock_enterprise_spend.csv
2023-01-02,546.15,SaaS,WORKDAY,USD,GL-2251,CC-42,mock_enterprise_spend.csv
2023-01-02,19108.7,Legal,LATHAM & WATKINS,USD,GL-5949,CC-78,mock_enterprise_spend.csv
2023-01-02,7970.13,Legal,SKADDEN,USD,GL-7589,CC-30,mock_enterprise_spend.csv
2023-01-02,21381.55,Legal,WILSON SONSINI,USD,GL-2934,CC-98,mock_enterprise_spend.csv
2023-01-02,2449.7,SaaS,SLACK,USD,GL-6189,CC-49,mock_enterprise_spend.csv
2023-01-02,28949.24,Professional Services,ACCENTURE,USD,GL-4681,CC-82,mock_enterprise_spend.csv
2023-01-03,5694.16,SaaS,WORKDAY,USD,GL-9825,CC-13,mock_enterprise_spend.csv
2023-01-03,37246.01,Professional Services,EY,USD,GL-9005,CC-48,mock_enterprise_spend.csv
2023-01-03,973.62,Logistics,DHL,USD,GL-9212,CC-28,mock_enterprise_spend.csv
2023-01-03,121293.9,Payroll,PAYCHEX,USD,GL-7519,CC-68,mock_enterprise_spend.csv
2023-01-03,17147.93,Professional Services,PWC,USD,GL-6690,CC-66,mock_enterprise_spend.csv
2023-01-03,36608.01,Legal,KIRKLAND & ELLIS,USD,GL-5338,CC-88,mock_enterprise_spend.csv
2023-01-03,53422.23,Payroll,DEEL,USD,GL-9638,CC-90,mock_enterprise_spend.csv
2023-01-04,1778.59,Office Supplies,STAPLES,USD,GL-6175,CC-62,mock_enterprise_spend.csv
2023-01-04,1251.01,SaaS,DOCUSIGN,USD,GL-1514,CC-26,mock_enterprise_spend.csv
2023-01-04,22960.35,Professional Services,DELOITTE,USD,GL-4128,CC-82,mock_enterprise_spend.csv
2023-01-04,20204.86,Legal,WILSON SONSINI,USD,GL-1630,CC-76,mock_enterprise_spend.csv
2023-01-04,17660.21,Marketing,LINKEDIN ADS,USD,GL-2191,CC-32,mock_enterprise_spend.csv
2023-01-05,35376.7,Marketing,MARKETO,USD,GL-6271,CC-65,mock_enterprise_spend.csv
2023-01-05,1202.65,Logistics,DHL,USD,GL-6744,CC-24,mock_enterprise_spend.csv
2023-01-05,2862.93,Travel & Expenses,UNITED,USD,GL-1135,CC-43,mock_enterprise_spend.csv
2023-01-05,106198.01,Cloud Infrastructure,AWS,USD,GL-2370,CC-51,mock_enterprise_spend.csv
2023-01-06,1776.9,Travel & Expenses,UNITED,USD,GL-1014,CC-14,mock_enterprise_spend.csv
2023-01-06,12574.94,Professional Services,EY,USD,GL-3713,CC-96,mock_enterprise_spend.csv
2023-01-06,4542.67,Travel & Expenses,HILTON,USD,GL-6768,CC-55,mock_enterprise_spend.csv
2023-01-06,13818.0,SaaS,ASANA,USD,GL-4804,CC-94,mock_enterprise_spend.csv
2023-01-07,1603.7,Travel & Expenses,LYFT,USD,GL-9209,CC-35,mock_enterprise_spend.csv
2023-01-07,17157.91,Legal,COOLEY,USD,GL-3849,CC-67,mock_enterprise_spend.csv
2023-01-07,4667.13,Office Supplies,WBMASON,USD,GL-9028,CC-66,mock_enterprise_spend.csv
2023-01-07,4577.02,Travel & Expenses,UNITED,USD,GL-6624,CC-33,mock_enterprise_spend.csv
2023-01-07,3700.26,Office Supplies,AMAZON BUSINESS,USD,GL-7092,CC-17,mock_enterprise_spend.csv
2023-01-07,20197.97,Legal,SKADDEN,USD,GL-9975,CC-50,mock_enterprise_spend.csv
2023-01-07,863395.34,Payroll,RIPPLING,USD,GL-1083,CC-63,mock_enterprise_spend.csv
2023-01-07,1059.98,Logistics,FEDEX,USD,GL-6081,CC-30,mock_enterprise_spend.csv
2023-01-08,13680.83,Marketing,GOOGLE ADS,USD,GL-1774,CC-10,mock_enterprise_spend.csv
2023-01-08,47693.62,Payroll,ADP,USD,GL-4530,CC-42,mock_enterprise_spend.csv
2023-01-08,22566.21,Legal,SKADDEN,USD,GL-4724,CC-64,mock_enterprise_spend.csv
2023-01-08,26385.86,Marketing,MARKETO,USD,GL-6496,CC-13,mock_enterprise_spend.csv
2023-01-09,17328.81,Cloud Infrastructure,DATADOG,USD,GL-8492,CC-49,mock_enterprise_spend.csv
2023-01-09,7604.3,Cloud Infrastructure,AWS,USD,GL-1702,CC-29,mock_enterprise_spend.csv
2023-01-09,1321.04,Logistics,FEDEX,USD,GL-3236,CC-51,mock_enterprise_spend.csv
2023-01-09,23394.01,Professional Services,KPMG,USD,GL-8555,CC-68,mock_enterprise_spend.csv
